mh#amul1 Amulet against Undead			Song of the Morning (shop)
mh#amul2 Necklace of Prayer Beads		The Lady's Hall (shop)
mh#amul3 Gem of Insight				High Hedge (shop)
mh#amul4 Mirror of Illusions			Sorcerous Sundries (shop)
mh#amul5 Brooch of Shielding			High Hedge (shop)
mh#amul8 Medallion of Faith			High House of Wonders (shop)

mh#band1 Circlet of the Wilderness		Baldur's Gate (event)

mh#belt1 Girdle of Dwarvenkind			Brokk's Forge (event)
mh#belt3 Storm's Garter				Centeol's Lair
mh#belt4 Girdle of Many Pouches			Firewine Bridge (battle)

mh#boot1 Boots of the Master Ninja		Black Lily (shop)
mh#boot3 Boots of Balance			Black Alaric's Cave (treasure)

mh#brac1 Vambraces of Evil's Warding		Brokk's Forge (event)
mh#brac3 Bracers of Winter's Chill		Durlag's Tower D4 (mushrooms)
mh#brac5 Gauntlets of Smiting			Durlag's Tower L4 (battle)
mh#brac7 Gloves of Evasion			Black Lily (shop)
mh#brac8 Hand of Fury				Balduran's Ship (chest)
mh#brac9 Gloves of Thievery			Ries Kensiddar (shop)

mh#btax1 Foesplitter +1				Brokk's Forge (shop)
mh#btax2 Trollkiller +2				Durlag's Tower D4 (chest2)

mh#bull1 Priest's Bullet			(various temples)
mh#bull2 Bullet of Pulverizing +1		(various shops)

mh#chan1 Eversing +2				Brokk's Forge (shop)
mh#chan2 Celestial Chain +2			Brokk's Forge (event)

mh#clck1 Mutamin's Cloak			Mutamin's Garden (event)
mh#clck2 Varazdin's Cloak of Protection		Durlag's Tower D4 (chest)
mh#clck3 Cloak of Arachnida			Black Lily (shop)
mh#clck8 Cloak of Flame				Sorcerous Sundries (shop)

mh#comp1 Meteoric Iron				Balduran's Ship (chest)
mh#comp2 Arandur Ore				Durlag's Tower D4 (sack)
mh#comp3 Lux Veritatis				Gullykin (event)
mh#comp4 Rusty Katana				Durlag's Tower D4 (slime)
mh#comp5 Unicorn Horn				Bandit Camp (sack)

mh#dagg2 Giantsbane +1				Brokk's Forge (shop)

mh#dart1 Lein's Fiery Darts			Ulcaster Ruins (body)
mh#dart2 Chandler's Icy Darts			Ulcaster Ruins (body)

mh#flai1 Slimecrusher +1			Brokk's Forge (shop)

mh#halb1 Ghoulbane +1				Brokk's Forge (shop)

mh#hamm1 Final Strike +3			Ulgoth's Beard (event)

mh#helm1 Helm of Valor				Brokk's Forge (shop)

mh#hide1 Winter Wolf Hide +1			Ries Kensiddar (event)

mh#ioun3 Bright Orange Ioun Stone		Ulgoth's Beard (battle)
mh#ioun5 Mottled Green Ioun Stone		Candlekeep Catacombs (battle)
mh#ioun8 Lovely Pink Ioun Stone			Cloakwood Mine (battle)

mh#mace1 Radiant Star +1			Brokk's Forge (shop)
mh#mace3 Skull Mace +2				Iron Throne Building (battle)

mh#misc2 Bag of Tricks				Cloakwood (battle)
mh#misc3 Crystal Ball				High Hedge (shop)
mh#misc4 Gem of Seeing				Gullykin (event)
mh#misc5 Horn of Goodness/Evil			Sourcerous Sundries (shop)
mh#misc6 Bottle of Pleasant Odors		High House of Wonders (shop)

mh#plat1 Dwarven Full Plate +2			Brokk's Forge (event)

mh#potn1 Oil of Acid Resistance			(various shops)
mh#potn2 Potion of Clairvoyance			(various shops)
mh#potn3 Potion of Wizardy			(various shops)
mh#potn4 Oil of Disenchantment			(various shops)
mh#potn5 Potion of Longevity			High Hedge (shop)
mh#potn6 Alchemist's Fire			High Hedge (shop)
mh#potn7 Acid Flask				High Hedge (shop)

mh#ring1 Ring of the Elven Mage			Candlekeep Catacombs (chest)
mh#ring2 Ring of Warmth				Ries Kensiddar (shop)
mh#ring3 Ring of the Neophyte			Ries Kensiddar (shop)
mh#ring8 Ring of the Neophyte			Ries Kensiddar (shop)
mh#ringc Ring of Fearlessness			Cloakwood Mines (desk)
mh#ringd Ring of Fearlessness			High Hedge (shop)

mh#robe1 Robe of the Elements			Dradeel's House (chest)
mh#robe3 Robe of the Pure Heart			Gullykin (shop)
mh#robe6 Ghastrobe				Bassilus (battle)

mh#scrl1 Scroll of Heal				The Lady's Hall (shop)
mh#scrl2 Scroll of Resurrection			The Lady's Hall (shop)

mh#shld1 Meteoric Shield +2			Brokk's Forge (event)
mh#shld2 Ankheg Shield +1			Brokk's Forge (event)
mh#shld5 Force Buckler +1			Brokk's Forge (shop)

mh#sper1 Alicorn Spear +2			Brokk's Forge (event)

mh#staf2 Staff of Swarming Insects +2		Sorcerous Sundries (shop)

mh#sw1h1 Terminus Est +2			Durlag's Tower D3 (battle)
mh#sw1h2 Smythe's Slicer +1			Brokk's Forge (shop)
mh#sw1h7 Mirthal +1				Nashkel Mines (battle)
mh#sw1h8 Golden Sky +2				Brokk's Forge (event)
mh#sw1ha Holy Sword +2				Brokk's Forge (event)

mh#wand3 Wand of Earth and Stone		Sorcerous Sundries (shop)


