mh#amul9 Amulet of the Sacred Fist		Amkethran (battle)

*mh#band3 Ultimate Circlet of the Wilderness

mh#brac4 Bracers of the Wind			Ancient Grove (battle)
mh#brac7 Gloves of Evasion			Watcher's Keep (maze)

mh#belt5 Adriana's Garter			Saradush (battle)
mh#belt7 Girdle of Storm Giant Strength		Sendai's Enclave (battle)

mh#bull1 Priest's Bullet			(various temples)

mh#chan3 Mail of Thalaera +5			Sendai's Enclave (battle)

mh#clck4 Cloak of the Night Sky			Sendai's Enclave (battle)
mh#clck6 Cloak of the Wastelands		Ancient Grove (battle)

mh#comp7 Green Dragon Scales			Watcher's Keep (battle)

mh#drag1 Black Dragon Scale			Cespenar (forging)
mh#drag2 Green Dragon Scale			Cespenar (forging)

mh#flai2 Battle Star +4				Sister Garlena (shop)

mh#hamm2 Maul of the Titans			Yaga-Shura (battle)

mh#helm3 Wyvern Crown of Cormyr			Cespenar (forging)

mh#ioun1 Pale Blue Ioun Stone			Sister Garlena (shop)
mh#ioun2 Crystal Clear Ioun Stone		Sister Garlena (shop)

mh#misc7 Orb of Dragonkind			Abazigal's Lair (battle)

mh#potn1 Oil of Acid Resistance			(various shops)
mh#potn2 Potion of Clairvoyance			(various shops)
mh#potn3 Potion of Wizardy			(various shops)
mh#potn4 Oil of Disenchantment			(various shops)
mh#potn6 Alchemist's Fire			Arcana Archives (shop)
mh#potn7 Acid Flask				Arcana Archives (shop)

mh#ring4 Ring of White Bone			Saradush Temple (shop)
mh#ring7 Spellbattle Ring			Arcana Archives (shop)
mh#ringa Ring of the Lich			Vongoethe (battle)
mh#ringb Ring of the Hierophant			Forest of Mir (battle)
mh#ringe Ring of Izmur				Cespenar (forging)

mh#robe5 Nyalee's Robe of Stone			Forest of Mir (battle)

mh#shld4 Shield of the Three Kings +5		Watcher's Keep (battle)

mh#staf4 Staff of the Legion +5			Saradush (battle)

mh#sw1h3 Scimitar of the Seven +4		Sister Garlena (shop)
mh#sw1hb Kanalruil +4				Sendai's Enclave (battle)

mh#tome1 Book of Exalted Deeds			Watcher's Keep (safe)
mh#tome2 Book of Vile Darkness			Forest of Mir (tiles)
mh#tome3 Libram of Silver Magic			Arcana Archives (shop)
mh#tome4 Libram of Gainful Conjuration		Marching Mountains (vault)
mh#tome5 Libram of Ineffable Damnation		Watcher's Keep (crypt)

mh#wand1 Wand of Illusions			Arcana Archives (shop)
mh#wand2 Elmira's Wand of Blasting		Sister Garlena (shop)
mh#wand1 Wand of Earth and Stone		Arcana Archives (shop)


